time_stamp,group,sub_jap,sub_trad_en,sub_trad_sp,sbert_jap_en,sbert_jap_sp,comet_jap_en,comet_jap_sp
00:48.8,official,それでは,Now then...,"Muy bien, muchachos.",0.7421566247940063,0.7755376100540161,-0.06966058909893036,-0.03192873299121857
00:50.5,official,ホームルームを始めます,...let's get started.,Es hora de comenzar la clase.,0.5539675951004028,0.4866989254951477,-0.0233067087829113,0.06851308047771454
00:52.7,official,日直の人は号令を,"Student on duty, on your command.","Estudiante a cargo, adelante.",0.49940162897109985,0.5307580828666687,-0.7604429125785828,-0.8647322654724121
00:54.9,official,き…起立,S-Stand up!,Sí. De pie.,0.8060203790664673,0.7792813777923584,-0.2533109188079834,-0.9665899276733398
01:00.1,official,気を付け,Attention!,Atención.,0.6835134029388428,0.9015069007873535,0.060198236256837845,0.20890627801418304
01:05.0,official,礼,Bow!,Ahora.,0.5555450320243835,0.7690892815589905,-0.49664363265037537,-0.2855704128742218
01:09.7,official,おはようございます,Good morning.,Buenos días a todos.,0.9813264608383179,0.9060602188110352,0.29765406250953674,0.3769941031932831
01:11.6,official,発砲したままで結構ですので　出欠をとります,Fire all you like--I'll just be taking attendance.,Sigan disparando mientras paso lista.,0.4946235418319702,0.7144495248794556,-0.5573999881744385,-0.760879397392273
01:15.2,official,磯貝君,Isogai?,¿Yuma Isogai?,0.48860880732536316,0.4114026427268982,-0.5482209324836731,-0.36132699251174927
01:16.7,official,はい,Here!,Presente.,0.6556112766265869,0.6868909597396851,-0.4169121980667114,-0.25995001196861267
01:18.0,official,すみませんが　銃声の中なので　大きな声で,"I'm sorry, you'll have to speak up with all this gunfire.","Tienes que hablar más fuerte,  no te oigo con tantos disparos.",0.7742454409599304,0.7177878022193909,-0.09519943594932556,0.05044535547494888
01:21.4,official,はい,Here!,Presente.,0.6556112766265869,0.6868909597396851,-0.4169121980667114,-0.25995001196861267
01:22.3,official,岡島君,Okajima?,¿Taiga Okajima?,0.6202292442321777,0.6365817785263062,-0.35446563363075256,-0.285493403673172
01:23.6,official,はい,Here!,Presente.,0.6556112766265869,0.6868909597396851,-0.4169121980667114,-0.25995001196861267
01:24.3,official,奥田さん,Okuda!,,0.5393138527870178,0.5952266454696655,-0.2604905366897583,-0.3950054943561554
01:25.5,official,はい,Here!,Presente.,0.6556112766265869,0.6868909597396851,-0.4169121980667114,-0.25995001196861267
01:26.3,official,片岡さん,Kataoka?,¿Megu Kataoka?,0.6136754751205444,0.6618627905845642,-0.512775182723999,-0.48539963364601135
01:27.4,official,はい,Here!,,0.6556112766265869,0.7537773847579956,-0.4169121980667114,0.08500553667545319
01:28.0,official,茅野さん,Kayano?,¿Kaede Kayano?,0.4788898527622223,0.4852476119995117,-0.4913344085216522,-0.3895047903060913
01:28.9,official,はい,Here!,Presente.,0.6556112766265869,0.6868909597396851,-0.4169121980667114,-0.25995001196861267
01:29.5,official,神崎さん,Kanzaki!,¿Yukiko Kanzaki?,0.7223232984542847,0.6962366104125977,0.04092811048030853,-0.005912806838750839
01:30.5,official,はい,Here!,Presente.,0.6556112766265869,0.6868909597396851,-0.4169121980667114,-0.25995001196861267
01:33.3,official,はい　遅刻なしっと,All right.,Listo.,0.5753032565116882,0.6845826506614685,-0.22407059371471405,-0.5679624080657959
01:36.0,official,素晴らしい　先生　とてもうれしいです,No tardies. Excellent! That makes me very happy.,Ninguno ha llegado tarde. Excelente. Eso es algo que me da mucho gusto.,0.5378115773200989,0.4695040285587311,0.3241649866104126,0.222120463848114
01:39.4,official,速過ぎ,He's too fast.,Es muy rápido.,0.8070348501205444,0.7455984354019165,-0.3598151206970215,0.054085247218608856
